시도별,2015,2016,2017,2018,2019,2020
전국,1676,1820,2008,2447,2656,3052
서울,536,571,513,566,531,609
부산,113,135,137,221,245,345
대구,90,78,116,134,155,189
인천,137,160,180,170,206,253
광주,18,21,27,21,23,27
대전,51,61,38,78,90,79
울산,28,26,39,39,49,67
세종,2,3,0,10,7,8
경기,297,325,399,453,615,682
강원,54,67,73,128,76,71
충북,31,36,62,87,82,110
충남,47,60,78,123,131,82
전북,30,40,40,63,59,62
전남,30,41,52,53,67,94
경북,69,61,90,118,110,139
경남,87,109,103,137,162,163
제주,56,26,61,46,48,72
