시도별,2015,2016,2017,2018,2019,2020
전국,976,1009,1023,1073,1063,1108
서울,226,226,244,254,233,241
부산,71,69,81,71,65,72
대구,45,54,52,56,47,48
인천,79,78,75,70,72,74
광주,22,23,22,30,29,30
대전,27,26,27,34,34,36
울산,17,23,21,28,25,25
세종,0,0,3,4,5,5
경기,261,264,269,268,274,285
강원,25,22,21,24,30,33
충북,22,23,20,22,28,29
충남,43,40,33,38,35,42
전북,16,20,24,26,26,24
전남,25,30,31,28,26,24
경북,45,47,41,61,58,60
경남,46,59,52,54,69,72
제주,7,8,7,7,8,10
